city,population_city_2015,population_city_2018
Eureka,316,325
Eustace,1022,1011
Evadale CDP,1445,1601
Evant,408,399
Evergreen CDP,80,81
Everman,6295,6284
Fabens CDP,8298,8429
Fabrica CDP,976,974
Fairchilds,988,999
Fairfield,2953,2980
Fair Oaks Ranch,7628,9182
Fairview,9186,9152
Falconaire CDP,134,125
Falcon Heights CDP,50,83
Falcon Lake Estates CDP,1079,1130
Falcon Mesa CDP,359,336
Falcon Village CDP,54,41
Falfurrias,4948,4997
Falls City,660,691
Falman CDP,77,75
Fannett CDP,2296,2337
Farmers Branch,33277,42750
Farmersville,3722,3861
Farwell,1310,1326
Fate,9894,14427
Fayetteville,267,271
Faysville CDP,464,497
Fernando Salinas CDP,14,13
Ferris,2584,3062
Fifth Street CDP,3164,3249
Flatonia,1422,1511
Flor del Rio CDP,131,129
Florence,1227,1275
Floresville,7637,7927
Flowella CDP,116,119
Flower Mound,73552,77530
Floydada,2748,2670
Follett,494,460
Forest Hill,12889,12598
Forney,18915,25371
Forsan,217,219
Fort Bliss CDP,9827,9637
Fort Clark Springs CDP,1252,1184
Fort Davis CDP,1144,1329
Fort Hancock CDP,1690,1817
Fort Hood CDP,31861,29396
Fort Stockton,8697,8284
Fort Worth,832030,894195
Four Corners CDP,15034,15712
Four Points CDP,16,15
Fowlerton CDP,53,49
Franklin,1655,1698
Frankston,1239,1221
Fredericksburg,11075,11529
Freeport,12117,12556
Freer,2695,2627
Fresno CDP,22978,24844
Friendswood,38922,40629
Friona,3906,3934
Frisco,163227,194014
Fritch,2024,1958
Fronton CDP,165,175
Fronton Ranchettes CDP,116,118
Frost,672,651
Fruitvale,420,434
Fulshear,7248,12255
Fulton,1489,1419
Gail CDP,272,279
Gainesville,16315,16639
Galena Park,11200,11040
Gallatin,433,440
Galveston,50137,49638
Ganado,2068,2282
Garceno CDP,405,401
Garciasville CDP,46,52
Garden City CDP,403,421
Gardendale CDP,1940,1933
Garden Ridge,3980,4121
Garfield CDP,1783,1805
Garland,236373,242309
Garrett,836,935
Garrison,902,908
Gary City,306,319
Garza-Salinas II CDP,762,788
Gatesville,15861,16078
Georgetown,64476,75247
George West,2629,2572
Geronimo CDP,1117,1285
Gholson,1107,1118
Giddings,5085,5195
Gilmer,5084,5032
Girard CDP,42,44
Gladewater,6929,6847
Glenn Heights,11983,13355
Glen Rose,2653,2817
Glidden CDP,727,748
Godley,1085,1290
Goldsmith,266,269
Goldthwaite,1944,1903
Goliad,2041,2058
Golinda,561,588
Gonzales,7441,7571
Goodlow,205,198
Goodrich,259,312
Gordon,492,484
Goree,190,184
Gorman,1058,1038
Graford,578,630
Graham,9190,8950
Granbury,9481,10524
Grand Acres CDP,44,43
Grandfalls,383,381
Grand Prairie,186000,194168
Grand Saline,3308,3284
Grandview,1633,1803
Granger,1497,1656
Granite Shoals,5336,5117
Granjeno,300,316
Grape Creek CDP,3259,3179
Grapeland,1444,1419
Grapevine,51874,54077
Grays Prairie,364,378
Greatwood CDP,15120,15112
Green Valley Farms CDP,1483,1526
Greenville,26475,28851
Gregory,1971,1920
Grey Forest,513,554
Groesbeck,4327,4372
Groom,552,563
Groves,16271,15907
Groveton,1020,1084
Gruver,1184,1137
Guadalupe-Guerra CDP,39,49
Guerra CDP,5,4
Gun Barrel City,6098,6157
Gunter,1490,1663
Gustine,468,496
Guthrie CDP,175,160
Gutierrez CDP,86,85
Hackberry,1110,1181
Hale Center,2187,2097
Hallettsville,2596,2693
Hallsburg,532,464
Hallsville,4172,4335
Haltom City,44051,42985
Hamilton,3055,3159
Hamlin,2112,2031
Happy,654,669
Hardin,883,939
Hargill CDP,900,924
Harker Heights,28670,32534
Harlingen,65815,68328
Harper CDP,1291,1346
Hart,1054,1064
Hartley CDP,580,608
Haskell,3328,3266
Haslet,1716,1779
Havana CDP,392,406
Hawk Cove,497,554
Hawkins,1286,1392
Hawley,618,630
Hays,243,263
H. Cuellar Estates CDP,19,15
Hearne,4572,4791
Heath,8004,8417
Hebbronville CDP,4482,4419
Hebron,427,441
Hedley,311,295
Hedwig Village,2743,2558
Heidelberg CDP,1832,1870
Helotes,8639,10124
Hemphill,1230,1256
Hempstead,6986,7309
Henderson,13857,13517
Henrietta,3061,3071
Hereford,15730,15513
Hermleigh CDP,339,322
Hewitt,14282,15169
Hickory Creek,4108,4753
Hico,1335,1462
Hidalgo,13018,14049
Hideaway,3022,3172
Higgins,418,403
Highland Haven,483,433
Highland Park,9423,8685
Highlands CDP,7814,7861
Highland Village,16288,17092
Hill Country Village,1073,1100
Hillcrest,738,779
Hillsboro,8509,8544
Hillside Acres CDP,42,46
Hilltop CDP (Frio),296,308
Hilltop CDP (Starr),84,83
Hilltop Lakes CDP,1003,999
Hilshire Village,848,821
Hitchcock,7710,7855
Holiday Beach CDP,534,480
Holiday Lakes,1202,1247
Holland,1109,1157
Holliday,1722,1792
Holly Lake Ranch CDP,2726,2322
Hollywood Park,3557,3333
Homestead Meadows North CDP,5422,5544
Homestead Meadows South CDP,7557,7758
Hondo,9279,9522
Honey Grove,1663,1664
Hooks,2832,2774
Horizon City,19327,19932
Hornsby Bend CDP,7773,8159
Horseshoe Bay,3600,3972
Horseshoe Bend CDP,887,750
Houston,2331354,2338187
Howardwick,382,373
Howe,2822,3610
Hubbard,1396,1394
Hudson,4924,5051
Hudson Bend CDP,3071,3532
Hudson Oaks,2101,2291
Hughes Springs,1823,1733
Hull CDP,694,773
Humble,15823,15856
Hungerford CDP,317,310
Hunters Creek Village,4841,4951
Huntington,2147,2201
Huntsville,41510,41453
Hurst,38864,38532
Hutchins,5818,6059
Hutto,22471,24809
Huxley,377,376
Iago CDP,155,149
Idalou,2395,2246
Iglesia Antigua CDP,446,453
Impact,39,33
Imperial CDP,303,230
Indian Hills CDP,2905,2797
Indian Lake,687,860
Indian Springs CDP,789,865
Indio CDP,59,76
Industry,320,337
Inez CDP,2254,2379
Ingleside,9691,9754
Ingleside on the Bay,646,584
Ingram,1821,1848
Iola,424,444
Iowa Colony,1296,2229
Iowa Park,6333,6364
Iraan,1265,1166
Iredell,332,340
Irving,239740,246924
Italy,1888,1957
Itasca,1655,1727
Ivanhoe,1489,2009
Jacinto City,10739,10483
Jacksboro,4702,4515
Jacksonville,14518,15138
Jamaica Beach,1061,1080
Jardin de San Julian CDP,25,26
Jarrell,1227,2029
Jasper,7460,7665
Jayton,525,492
Jefferson,2139,2037
Jersey Village,7853,8073
Jewett,1234,1243
JF Villarreal CDP,108,109
Joaquin,805,790
Johnson City,1828,2059
Jolly,158,160
Jollyville CDP,17413,17809
Jones Creek,2121,2195
Jonestown,2018,2099
Josephine,1026,1904
Joshua,6667,7788
Jourdanton,4289,4532
Juarez CDP,1154,1161
Junction,2541,2577
Justin,3813,4089
Karnes City,3389,3202
Katy,15949,20417
Kaufman,7094,7565
K-Bar Ranch CDP,334,355
Keene,6698,6815
Keller,44011,46846
Kemah,1978,2047
Kemp,1231,1268
Kempner,1087,1175
Kendleton,404,451
Kenedy,3400,3525
Kenefick,595,654
Kennard,324,330
Kennedale,7836,8399
Kerens,1588,1584
Kermit,6383,6178
Kerrville,23610,24225
Kilgore,14673,14257
Killeen,140257,151547
Kingsbury,873,130
Kingsland CDP,6551,7323
Kingsville,25511,25394
